ric,adv,market cap
000416.SZ,0.714130234,694.8467888
000417.SZ,10.75276458,1006.205746
000418.SZ,14.15369122,2801.490526
000419.SZ,8.330254427,638.8112122
000420.SZ,17.21479671,1194.297226
000421.SZ,12.71954219,866.3291324
000422.SZ,14.21330841,918.7978268
000423.SZ,51.72693977,5602.950692
000425.SZ,22.36334719,3378.886364
000426.SZ,32.31925027,1711.113644
000428.SZ,10.03756227,1071.225229
000429.SZ,5.811064716,1992.948287
000430.KS,0.069868976,283.9298331
000430.SZ,7.009877625,583.7753047
000440.KQ,0.033648036,32.37384077
000480.KS,0.054661025,319.2575082
000488.SZ,31.72284881,2283.679367
000490.KS,1.019779273,147.7825729
000498.SZ,9.873092494,1189.194953
000500.KS,0.105175481,76.20945997
000501.SZ,9.200142979,1667.667587
000502.SZ,9.80361558,608.2622316
000503.SZ,40.37952058,6494.092805
000504.SZ,6.866634089,703.8311039
000505.SZ,0.023380859,602.3147487
000507.SZ,9.836758095,713.6474784
000509.SZ,19.47736186,876.3736479
000510.SZ,30.38456757,720.3942372
000511.SZ,0,1518.910857
000513.SZ,21.73807789,3212.15552
000514.SZ,9.013945095,962.9731003
000516.SZ,28.52629209,1990.841463
000517.SZ,7.021487212,2168.967676
000518.SZ,78.65501579,1261.536178
000519.SZ,43.5946447,2163.373545
000520.KS,0.08307973,39.00437016
000520.SZ,45.18962797,1098.355067
000521.SZ,11.52878952,991.8534057
000523.SZ,9.519322709,909.8840145
000524.SZ,23.02156586,697.8537294
000526.SZ,9.344230759,593.4624924
000528.SZ,12.99847909,1196.271812
000529.SZ,10.05728943,896.0995201
000530.SZ,6.44927983,809.2311072
000531.SZ,0,1158.657595
000532.SZ,50.48863015,1000.289024
000533.SZ,0,1209.098618
000534.SZ,45.4227939,1167.481096
000536.SZ,8.886415097,3629.910784
000537.SZ,13.73028569,672.8477965
000538.SZ,0,10630.66434
000539.SZ,4.379198632,3788.345813
000540.KS,0.076181655,198.1436471
000540.SZ,26.49637959,4625.445409
000541.SZ,10.51246468,1725.497396
000543.SZ,24.52787224,2185.888718
000544.SZ,10.12512664,1723.663865
000545.SZ,13.97847974,907.9813207
000546.SZ,12.38206526,1069.017348
000547.SZ,0,3246.329939
000548.SZ,12.46903644,599.9216827
000550.SZ,5.570293041,2960.246498
000551.SZ,11.97069522,612.3408785
000552.SZ,27.15627987,1392.705648
000553.SZ,42.0126443,1097.267893
000554.SZ,26.00960068,662.8551795
000555.SZ,30.26726539,3641.799298
000557.SZ,14.58041937,1212.821408
000558.SZ,8.483537855,1869.294569
000559.SZ,34.68710031,5000.036461
000560.SZ,0,1794.549273
000561.SZ,24.70296505,1180.812572
000563.SZ,55.91913376,3408.613833
000564.SZ,8.502489104,8371.396922
000565.SZ,42.60445343,827.302574
000566.SZ,38.04031295,2777.585577
000567.SZ,162.701544,1065.237765
000568.SZ,47.24257672,7156.100531
000570.SZ,18.29699056,695.4557212
000571.SZ,13.76174603,1079.112839
000572.SZ,10.5936682,1256.169611
000573.SZ,33.88017966,814.4977377
000576.SZ,0,1006.280394
000581.SZ,31.39595493,3348.145283
000582.SZ,12.40592935,2423.835172
000584.SZ,1.247615076,1071.660363
000585.SZ,35.64766199,789.3839529
000586.SZ,11.32444842,637.4886094
000587.SZ,14.74867218,2403.423245
000589.SZ,8.709724703,666.62099
000590.KS,0.027833232,88.82102599
000590.SZ,4.870233273,680.0145481
000591.SZ,9.914299285,2978.845357
000592.SZ,36.6473277,2281.597332
000593.SZ,47.16248772,666.2956861
000595.SZ,24.65119594,694.1481266
000596.SZ,25.73494364,3206.026661
000597.SZ,11.40840581,719.4818707
000598.SZ,32.92995052,2637.527747
000599.SZ,19.3593452,758.9373116
000600.SZ,9.310610771,2462.135659
000601.SZ,11.3208208,1634.713004
000603.SZ,20.91018466,1960.557381
000605.SZ,28.97379134,681.7024985
000606.SZ,16.50477825,1312.108477
000607.SZ,31.49389999,2234.407662
000608.SZ,11.46443167,800.5680351
000609.SZ,0,628.9899467
000610.SZ,33.46848328,527.820856
000611.SZ,0,377.7264919
000612.SZ,28.81240941,1446.762856
000613.SZ,8.364921329,654.0891014
000615.SZ,26.87189311,1272.441511
000616.SZ,13.28869502,1176.765817
000617.SZ,18.00157308,733.4859199
000619.SZ,10.03870821,623.7190168
000620.SZ,13.38169875,2536.602148
000622.SZ,5.281781669,570.5711674
000623.SZ,35.88935857,3534.547841
000625.SZ,46.78182502,10349.63849
000626.SZ,65.10905754,2983.507186
000627.SZ,11.13477683,5086.992728
000628.SZ,16.19446491,716.4788629
000629.SZ,28.84842508,3369.074286
000630.SZ,58.15759485,3820.366621
000631.SZ,14.35694365,1918.927962
000632.SZ,15.13333768,623.264527
000633.SZ,1.065300988,525.2560419
000635.SZ,85.01264249,888.003458
000636.SZ,37.27287703,1366.234049
000637.SZ,15.74930797,577.9884965
000638.SZ,34.61886754,864.5261652
000639.SZ,50.69423642,1707.697891
000640.KS,3.835971701,796.9201795
000650.KS,0.174251291,114.4463115
000650.SZ,13.51145204,1354.853856
000651.SZ,175.615003,19869.41295
000652.SZ,36.81259003,1288.04571
000655.SZ,18.79316665,777.7635232
000656.SZ,107.6547351,3151.288747
000657.SZ,14.55361051,1502.601351
000659.SZ,0,1148.845791
000660.KS,122.0875255,26956.93547
000661.SZ,34.29407671,2851.968406
000662.SZ,17.87235329,3136.785334
000663.SZ,9.203958322,684.8030967
000665.SZ,9.470290032,1388.404169
000666.SZ,19.36436064,1659.062357
000667.SZ,14.2425198,1513.435063
000668.SZ,6.448174877,530.2581704
000669.SZ,8.124772971,1158.778751
000670.KS,0.919182174,1589.115203
000670.SZ,17.75763088,917.5453019
000671.SZ,11.10176862,3611.351876
000672.SZ,14.20387619,836.1860984
000673.SZ,30.87955795,1553.471521
000676.SZ,48.85210021,2761.045144
000677.SZ,16.89788076,859.9140579
000678.SZ,64.23047667,778.0037201
000679.SZ,32.40996639,738.3506097
000680.KS,0.060726797,218.9335456
000680.SZ,33.32941759,1057.484244
000681.SZ,15.46187731,2371.79226
000682.SZ,0.886595966,750.0034819
000683.SZ,51.35585955,1765.78438
000685.SZ,12.56421735,2412.153656
000686.SZ,62.07259203,4489.78788
000687.SZ,17.28870619,2088.321892
000688.SZ,18.41841629,1537.77477
000690.SZ,21.05074985,2678.993151
000691.SZ,5.636772092,434.2425721
000692.SZ,6.803484479,479.2581951
000693.SZ,0,1001.732411
000695.SZ,9.059330987,562.0920051
000697.SZ,26.1960219,1897.262467
000698.SZ,17.97640233,866.4118038
000700.KS,0.303175096,142.2019549
000700.SZ,11.16350527,934.8586463
000702.SZ,7.934649674,559.4612154
000703.SZ,12.90746436,2947.440928
000705.SZ,17.33966737,704.0242052
000707.SZ,18.25637839,554.355077
000708.SZ,6.428171277,813.7448406
000709.SZ,26.20927065,4885.070039
000710.SZ,0,493.1573748
000711.SZ,6.073974926,774.6107669
000712.SZ,31.33188819,2680.641118
000713.SZ,7.813147486,504.5975071
000715.SZ,5.066913459,617.5083767
000716.SZ,29.98360061,698.6680096
000717.SZ,11.1359235,1473.427183
000718.SZ,25.43902628,4085.319776
000719.SZ,0,1668.652363
000720.KS,17.82596021,3991.373904
000720.SZ,29.51697677,954.8872735
000721.SZ,90.35683427,834.4703008
000722.SZ,14.86787909,954.7483793
000723.SZ,13.31268973,5899.530701
000725.SZ,98.52948194,12693.72414
000726.SZ,13.34353438,1457.748018
000727.SZ,45.81437544,2197.359938
000728.SZ,136.4466879,6307.686342
000729.SZ,12.13706253,3270.750765
000731.SZ,76.46255594,801.5071285
000732.SZ,16.80230972,3424.033152
000733.SZ,20.06897452,1356.420394
000735.SZ,12.82856579,1125.722146
000736.SZ,11.96455903,836.5548393
000737.SZ,17.9300559,542.1330306
000738.SZ,33.19863373,4539.05394
000739.SZ,7.590835731,1313.964308
000748.SZ,47.80583807,2423.346154
000750.SZ,44.57106876,4475.427564
000751.SZ,22.91944776,1178.719653
000752.SZ,30.97728889,702.3810949
000753.SZ,13.33330959,680.5238893
000755.SZ,60.34931372,622.7431235
000756.SZ,16.21725256,717.3884407
000757.SZ,109.8051566,745.1659175
000758.SZ,40.19039916,2407.311688
000759.SZ,4.187272984,798.3191915
000760.KS,0.04752016,49.70298584
000760.SZ,9.237772126,1432.379395
000761.SZ,8.940704084,2451.931965
000762.SZ,42.23004299,1519.782474
000766.SZ,16.15355895,2786.088194
000767.SZ,18.20668296,1306.004151
000768.SZ,55.90791997,8964.957572
000776.SZ,93.04066524,18869.38232
000777.SZ,35.15184458,1302.576172
000778.SZ,31.85271475,2669.935797
000779.SZ,9.528877491,564.9394655
000780.SZ,41.06446638,1017.013374
000782.SZ,16.10441324,687.635157
000783.SZ,40.60425236,8887.066706
000785.SZ,17.44843397,516.0085305
000786.SZ,47.15305822,2197.520751
000788.SZ,7.079272803,1254.913878
000789.SZ,9.876040701,634.8984596
000790.SZ,17.88682582,889.1297457
000791.SZ,38.41136424,2017.600991
000792.SZ,19.4778559,5247.447462
000793.SZ,37.94235761,3316.715155
000795.SZ,17.90973993,1262.082157
000796.SZ,12.2940531,2095.740805
000797.SZ,9.599008809,1347.160636
000798.SZ,8.526870663,523.3260664
000799.SZ,30.58810633,1035.361073
000800.SZ,55.5441385,2718.939383
000801.SZ,12.80731757,1726.822291
000802.SZ,13.39446178,2324.958574
000803.SZ,0,400.0360028
000806.SZ,65.97834369,2865.781099
000807.SZ,36.45507638,1993.263674
000809.SZ,14.89710067,608.0827593
000810.KS,16.52285132,12652.20179
000810.SZ,17.90821678,2529.42186
000811.SZ,19.94893933,971.9242735
000812.SZ,0,690.0056488
000813.SZ,17.18170916,3149.823568
000815.SZ,18.43937121,2590.615741
000816.SZ,24.10495757,1194.557122
000818.SZ,67.45486547,1599.256845
000819.SZ,13.40303993,1145.405005
000820.SZ,18.04415375,2549.206398
000821.SZ,9.190182773,1053.112389
000822.SZ,8.512047308,732.5027189
000823.SZ,60.65962202,1000.7889
000825.SZ,27.13643598,3334.479091
000826.SZ,20.92315779,4277.849248
000828.SZ,11.03315713,1661.534997
000829.SZ,0.525497317,1594.756371
000830.SZ,16.0129392,1121.017331
000831.SZ,16.42911008,1706.673642
000833.SZ,34.17445301,1051.600252
000835.SZ,14.26984486,671.1647193
000836.SZ,29.29774116,1377.39555
000837.SZ,45.95606411,943.6608472
000838.SZ,34.63959405,1645.362863
000839.SZ,230.996282,6461.855618
000848.SZ,18.86384332,1701.183232
000850.KS,0.129805353,97.29503406
000850.SZ,7.468342542,829.3020324
000851.SZ,28.41519817,1152.750043
000852.SZ,4.695329777,983.4203164
000856.SZ,4.969840463,487.3442546
000858.SZ,111.1832988,19774.91621
000859.SZ,9.794238758,616.035473
000860.KS,0.219050823,210.3523172
000860.SZ,18.10381096,1742.420079
000861.SZ,10.6729001,1695.218128
000862.SZ,4.877557113,683.6400461
000863.SZ,9.663994611,1939.309626
000868.SZ,7.248147656,709.7294228
000869.SZ,6.849289408,3148.859103
000875.SZ,26.93471529,1315.905648
000877.SZ,18.96351888,892.8318999
000878.SZ,11.21063667,2174.126942
000880.KS,8.240456125,2457.220561
000880.SZ,8.979327101,633.4690544
