Name (or Code),RIC,Country,Market Capitalisation (million USD),adv(million USD),GICS Sector,GICS Industry,99/10/18-00/4/1,99/10/18-99/11/19,99/10/18-00/3/6,99/11/19-00/3/6,99/10/18-00/12/31,00/3/6-00/12/31,16/11/8-17/4/30,16/12/1-17/4/30
Katakura & Co-op Agri Corp,4031.T,Japan,110.7006948,0.090942191,Materials,Chemicals,-1.010157071,0.238663485,-2.386634843,-2.619047617,-16.90156928,-14.86982281,17.96116505,8.968609864
Toba Inc,7472.T,Japan,91.67936878,0.03747816,Industrials,Trading Companies & Distributors,-29.16666667,-15.83333333,-24.16666667,-9.900990101,-18.33333333,7.692307691,-0.146484379,-0.341130608
Shobunsha Publications Inc,9475.T,Japan,119.9599689,0.111256164,Consumer Discretionary,Media,37.73234424,45.78587699,75.17084283,20.15625,-71.67564083,-83.83043736,22.05638474,18.13804174
Shugakusha Co Ltd,9634.Q^J05,Japan,NULL,0,NULL,NULL,,,,,,,,
Hakone Tozan Railway Co Ltd,9004.T^G03,Japan,NULL,0,Industrials,Road & Rail,-0.696477522,4.327939589,-4.154565881,-8.130617267,-4.79098531,-0.664005996,,
Systemsoft Corp,7527.T,Japan,79.23153232,0.655262573,Information Technology,Software,38.19188192,3.32103321,21.77121771,17.85714286,-37.2693727,-48.48484849,-11.56462585,-13.33333333
Japan ERI Co Ltd,24191.Q^E05,Japan,99.07993705,0,Industrials,Commercial Services & Supplies,,,,,,,,
Japan ERI Co Ltd,2419.T^K13,Japan,99.07993705,0.191162963,Industrials,Commercial Services & Supplies,,,,,,,,
Nidec-Shimpo Corp,6398.OS^I03,Japan,NULL,0,Industrials,Machinery,,,,,,,,
Inui Steamship Co Ltd,9113.T^I14,Japan,99.29353632,1.094312053,Industrials,Marine,-21.05263158,-7.368421051,-23.15789474,-17.04545455,-40,-21.91780822,,
G Three Holdings Corp,3647.T,Japan,81.52625768,0.600478249,Information Technology,Software,,,,,,,-13.13868613,-13.13868613
Felissimo Corp,3396.T,Japan,91.85304402,0.047090937,Consumer Discretionary,Internet & Direct Marketing Retail,,,,,,,0.294985254,-3.317535543
IR Japan Holdings Ltd,6035.T,Japan,105.3946219,0.438421637,Industrials,Professional Services,,,,,,,15.39162112,11.04294478
Computer Institute of Japan Ltd,48261.T^H05,Japan,103.0242062,0,Information Technology,Software,,,,,,,,
Computer Institute of Japan Ltd,4826.T,Japan,103.0242062,0.308616009,Information Technology,Software,,,,,,,12.0240481,7.500000001
Catena Corp,9815.T^C10,Japan,NULL,0,Consumer Discretionary,Specialty Retail,-6.616249004,18.40688913,-0.968783634,-16.36363636,-36.22846684,-35.60461489,,
Abist Co Ltd,6087.T,Japan,140.7791626,0.981520472,Industrials,Professional Services,,,,,,,50.34298781,13.52517986
T.D.I. Co Ltd,9638.T^B16,Japan,98.84289964,0.042909682,Information Technology,Software,0.086692115,21.95121951,21.57598499,-0.307692305,-10.88872698,-26.7032276,,
Village Vanguard Co Ltd,2769.T,Japan,72.70354613,0.058654252,Consumer Discretionary,Specialty Retail,,,,,,,-20.22727272,-13.97058823
Seibu Electric & Machinery Co Ltd,6144.T,Japan,94.87743208,0.007940153,Industrials,Machinery,,,,,,,7.219662057,2.196193264
Asmo Corp,2654.T,Japan,90.9824016,0.082343998,Consumer Staples,Food & Staples Retailing,,,,,-54.52322739,-54.52322739,1.515151515,-2.898550725
Tokyo Kaikan Co Ltd,9701.T,Japan,99.85274585,0.033815819,Consumer Discretionary,"Hotels, Restaurants & Leisure",-22.46262093,-11.60949868,-20.84432718,-10.44776119,-35.83113456,-18.93333333,8.249158254,5.237315878
Taiheiyo Kaiun Co Ltd,9123.T^K09,Japan,NULL,0,Industrials,Marine,-16.66666667,-7.575757576,-22.72727273,-16.39344262,-31.81818182,-11.76470588,,
Aval Data Corp,6918.T,Japan,125.5705702,2.482752662,Information Technology,Semiconductors & Semiconductor Equipment,69.48369565,25,62.5,30,-11.78478261,-45.71371238,43.13874147,64.17391304
Fukuoka Chuo Bank Ltd,8540.FU,Japan,90.78761569,0.007855948,Financials,Banks,-2.58688E-09,-1.33731E-09,-0.550458719,-0.550458718,0.458715593,1.014760148,0.271739129,-2.122015916
Alpha Corp,3434.T,Japan,184.0078903,3.369955715,Consumer Discretionary,Auto Components,,,,,,,102.0080321,94.77250726
